pilot_id,sales_order_ref,product_type,customer_id,start_date,total_quote_korkem_kzt,total_quote_actual_kzt,quote_error_pct,advance_paid_kzt,advance_pct,developer_intervention,developer_intervention_duration_min,basis_file,basis_import_success,offcut_created_count,offcut_reused_count,job_cards_count,piece_work_total_kzt,piece_work_discrepancy_kzt,current_stage,friction_points_count,status
PILOT-001,SO-PILOT-2026-001,"Kitchen (Corner, MDF Enamel + Egger Halifax)",CUST-AST-0101,2026-09-17,1842000,1868000,-1.39,1289400,70.0,False,0,kitchen_green_quarter.xml,True,1,0,6,54200,0,QC_COMPLETED_PENDING_DELIVERY,2,IN_PROGRESS
PILOT-002,SO-PILOT-2026-002,"Wardrobe (Sliding 3-Door, Lamarty White)",CUST-AST-0102,2026-09-17,560000,555500,0.81,392000,70.0,False,0,wardrobe_grand_turan.xml,True,1,1,4,28400,0,QC_COMPLETED_PENDING_DELIVERY,1,IN_PROGRESS
PILOT-003,SO-PILOT-2026-003,"Kitchen (U-shaped Island, Fenix NTM + Oak Veneer)",CUST-AST-0103,2026-09-17,3950000,3975000,-0.63,2765000,70.0,False,0,kitchen_family_village.xml,True,1,0,9,98500,0,PRODUCTION_ASSEMBLY,1,IN_PROGRESS
PILOT-004,SO-PILOT-2026-004,"Wardrobe (Hinged with Mezzanines, Egger Cashmere)",CUST-AST-0104,2026-09-17,720000,717000,0.42,504000,70.0,False,0,wardrobe_sensata.xml,True,1,0,5,34000,0,MATERIALS_RESERVED,0,IN_PROGRESS
PILOT-005,SO-PILOT-2026-005,"Kitchen (Straight Economy, Kronospan)",CUST-AST-0105,2026-09-17,430000,430000,0.00,301000,70.0,False,0,kitchen_nova_city.xml,True,0,1,4,22500,0,MATERIALS_RESERVED,0,IN_PROGRESS
PILOT-006,SO-PILOT-2026-006,"Dressing Room (Open System, Aristo + Egger Dijon)",CUST-AST-0106,2026-09-17,980000,991000,-1.11,686000,70.0,False,0,dressing_highvill.xml,True,0,0,5,42000,0,MATERIALS_RESERVED,0,IN_PROGRESS
PILOT-007,SO-PILOT-2026-007,"Kitchen (Gola Profile, AGT Supramat)",CUST-AST-0107,2026-09-17,2150000,2125000,1.18,1505000,70.0,False,0,kitchen_akbulak_gola.xml,True,0,0,7,68000,0,MATERIALS_RESERVED,0,IN_PROGRESS
PILOT-008,SO-PILOT-2026-008,"Wardrobe (4-Door Mirrored Frame)",CUST-AST-0108,2026-09-17,890000,893000,-0.34,623000,70.0,False,0,wardrobe_ray_residence.xml,True,0,0,5,38000,0,MATERIALS_RESERVED,0,IN_PROGRESS
PILOT-009,SO-PILOT-2026-009,"Bathroom Cabinetry (Moisture-proof MDF)",CUST-AST-0109,2026-09-17,490000,490000,0.00,343000,70.0,False,0,bathroom_sezim_qala.xml,True,0,0,4,26000,0,MATERIALS_RESERVED,0,IN_PROGRESS
PILOT-010,SO-PILOT-2026-010,"Office Conference Table & Credenza",CUST-AST-0110,2026-09-17,1120000,1114000,0.54,784000,70.0,False,0,office_talan_towers.xml,True,0,0,6,52000,0,MATERIALS_RESERVED,0,IN_PROGRESS
